Column1,Player_Name,POS_x,years_exp,round,pick_no,current_owner,keeper_round,Draft_Position,Odd_Pick_Order,Even_Pick_Order,Team_x,FP_MFL,FP_FFC,FP_Sleeper,Pos,RV_Dyn_Avg,Overall_ADP,Overall_ADP_StDev,Overall_Dynasty_ADP,Overall_Dynasty_ADP_StDev,keep_pick_num,Overall_Rank,Overall_Value
50,Jonathan Taylor,RB,1,2,18,kiwirado,12,6,6,5,IND,13,15,9,RB,5.54,8.975,2.91018327,4.77,1.088944443,125,6.8725,118.1275
126,Justin Jefferson,WR,1,12,111,tweet011,12,9,9,2,MIN,24,23,24,WR,13.75,23,1.414213562,12.275,2.085965005,122,17.6375,104.3625
86,Terry McLaurin,WR,2,12,118,MAPavoloni,11,5,5,6,WAS,31,31,30,WR,35.26,28.9,1.762573876,29.73,7.820601,115,29.315,85.685
137,TJ Hockenson,TE,2,15,146,Conorrich,14,8,8,3,DET,62,58,55,TE,54.75,58.15,3.399509769,57.275,3.570889245,143,57.7125,85.2875
99,Tee Higgins,WR,1,,,brisbois19,12,2,2,9,CIN,65,64,67,WR,52.23,61.6,3.006659276,45.515,9.496444071,129,53.5575,75.4425
116,Brandon Aiyuk,WR,1,13,121,9johnb,12,7,7,4,SF,63,57,61,WR,51.21,57.325,1.57770931,44.705,9.199459223,124,51.015,72.985
59,James Robinson,RB,1,,,tweet011,12,9,9,2,JAC,43,28,37,RB,67.7,31.475,3.719655002,71,4.666904756,122,51.2375,70.7625
112,Josh Allen,QB,3,12,117,kiwirado,10,6,6,5,BUF,27,34,28,QB,26.74,32.975,2.696139215,35.92,12.9824805,105,34.4475,70.5525
19,Myles Gaskin,RB,2,,,MAPavoloni,12,5,5,6,MIA,45,46,57,RB,61.93,48.7,8.475061455,73.715,16.66650683,126,61.2075,64.7925
141,Justin Herbert,QB,1,,,tweet011,12,9,9,2,LAC,60,72,56,QB,46.84,65.525,5.301179114,56.92,14.25527271,122,61.2225,60.7775
17,Joe Burrow,QB,1,16,156,Rioman,15,3,3,8,CIN,102,115,106,QB,71.89,111.425,5.476236542,75.345,4.886107858,153,93.385,59.615
57,Damien Harris,RB,2,14,134,MAPavoloni,13,5,5,6,NE,71,55,92,RB,90.69,62.9,12.25996194,88.745,2.750645379,135,75.8225,59.1775
